text,Bored,Angry,Sad,Fear,Happy,Excited
Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the� ,0.0510727809,0.1496974171,0.1260768218,0.1384247218,0.221103724,0.3136245344
"tephen501: unleavy138 rillyBobc heSNP KLabour I would be happy to do a deal with the SNP, but d_Miliband was clear. If you w�",0.0712141956,0.1694179377,0.1540046312,0.1571351022,0.2119628861,0.2362652472
"How dare dMiliband_MP force Socialists to chose between the English LP and the SNP! The SNP are the last, true Socialist party in the UK",0.0449782369,0.5186878153,0.1474275802,0.1207070925,0.058153442,0.1100458331
Watch: Ed Miliband trips off the stage following Question Time leaders special ,0.0567305461,0.0702807919,0.0821240325,0.2078424872,0.2873239115,0.2956982308
"bstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) �",0.0,0.1126397055,0.0905532339,0.1936006766,0.2860390204,0.3171673635
0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!,0.0484323857,0.3180824418,0.0841710477,0.1149276966,0.1372661779,0.2971202504
"Miliband stumbles, Cameron dodges ",0.0328215382,0.0872828138,0.0751142745,0.1220118005,0.3909934127,0.2917761602
Miliband - I'd pass on PM job rather than do deal with Scots nationalists: LONDON (Reuters) - British Labour Party� ,0.1289378226,0.1346255032,0.1153278346,0.2240823809,0.1924518394,0.2045746191
loriaDePiero: Nick Clegg is just as responsible for this Govt's failing  plan as David Cameron - he's backed the Tories all the  way,0.0530453111,0.3633435215,0.1576564821,0.1506385979,0.1131686826,0.1621474048
ykilmarnock: Will the person who dropped a Vote SNP badge please call at Kilmarnock police station to collect it. �,0.0773685423,0.2848253733,0.1204201243,0.1314179398,0.205487166,0.1804808544
arkfergusonuk: The Sun�s Twitter worm appears to believe Ed Miliband is winning so far bbcqt ,0.047147243,0.1036377043,0.0713579657,0.1670814461,0.2823869642,0.3283886766
"cottishPleb HairyBiker 

SNP toxic in England. Why would Labour want to do a deal with them?",0.0567940878,0.2518109565,0.2450680954,0.2746618615,0.0869701592,0.0846948396
"atieKhaleesi: I'm SNPbecause in my entire adult life I've only seen Labour &amp; Tories cause misery, war, and further victimisation of t�",0.0475224775,0.2307628027,0.2241601352,0.2652865152,0.0719060266,0.1603620427
Jeremy Vine doesn't think the SNP Scottish takeover merits a mention,0.2731259557,0.1369286915,0.1373997031,0.2346401846,0.0446259335,0.1732795316
"aniloxxv: ""UKIP is the bastard child of the big three parties. With apologies to all bastards."" - eterTatchell at the University of �",0.0436324143,0.1777989295,0.0955481632,0.1691081059,0.2464260192,0.267486368
"�uttonnick: Friday's Times front page:
Miliband savaged for �lies� over spending
tomorrowspaperstoday bbcpapers �",0.0487363192,0.1557836581,0.0867781728,0.1241294545,0.2355323104,0.349040085
hothersall: Scenes of celebration in Glasgow as SNP applaud a Conservative victory. Just a bit of fun. Or is it? :-) �,0.0152749276,0.068323953,0.0275053429,0.0975430628,0.5477261068,0.243626607
"THopkins SNP thickos look forward to having the balance of power, bringing fair, decent policies that fascists bigots like u detest!",0.015285156,0.3519109008,0.034573268,0.084838541,0.1881690553,0.3252230789
abourEoin: Another humongous lie from David Cameron. He has not clamped down on Tax Avoidance. Uncollected Tax has risen BBCqt http:/�,0.0599094584,0.2822218528,0.2743126337,0.1572605789,0.1245898528,0.1017056235
"my tory dad:
""if UKIP had a chance here I'd definitely vote for them.""

*5 mins later*
""you are so blinkered!!! so closed minded!!""

u sure?",0.0,0.1671008232,0.187554573,0.2221384705,0.1502953395,0.2729107938
"Tonight's polling average: Con 33.7%, Lab 33%, UKIP 13%, Lib Dem 8% and Green 5.7%.",0.0818546105,0.1752885335,0.2253574985,0.2281956818,0.1081613696,0.1811423061
steve372: .ik61scot it's Nicola Sturgeon's new education policy... Improve literacy by getting deprive kids reading words on helicop�,0.055474705,0.1702241399,0.0918545674,0.1422998988,0.2511838039,0.2889628849
"uardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP ",0.0634712713,0.5321764545,0.1387953077,0.1329382631,0.0579174138,0.0747012896
tephenHep21: cotlandTonight Ed is free to say he wont do a deal. It is SNP who will never be forgiven if they vote down a Labour go�,0.1342725979,0.3359859912,0.1389653539,0.1458756328,0.1364989204,0.1084015038
d_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. bbcqt,0.0502438404,0.1860792274,0.1869492261,0.159931624,0.199209686,0.2175863961
uffPostUK: The Tory spin message about David Cameron's performance is a bit obvious bbcqt  �,0.1002755465,0.1179002508,0.1287682831,0.3482588196,0.1641575088,0.1406395912
igel_Farage Does Ed's rejection of Lab/SNP deal undermine Cameron's plea to Ukippers to 'come home' on the basis of that proposal?,0.0509592454,0.1908944862,0.3073906043,0.2502410426,0.0872995278,0.1132150937
d_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. bbcqt,0.0502438404,0.1860792274,0.1869492261,0.159931624,0.199209686,0.2175863961
"haos_lane: imagine fighting for us to stay in the union, promising that Scotland's voice will be heard, and then refusing to do a deal�",0.0604844671,0.3426115442,0.1757236777,0.1894936318,0.0979951853,0.133691494
Account for every penny? Like you did last time? Your nose should be 2 foot long! ,0.064943052,0.5712045965,0.1182897949,0.1494965794,0.0440158049,0.0520501724
onwindward: imForScotland Crazy statements like that just confirms to me I made the right decision in leaving Labour for the SNP.Tim�,0.0391515084,0.1113953006,0.1314190959,0.2630280976,0.1964466567,0.2585593408
"iath84: Great, you reduced the deficit, by killing and shitting on the poor. Good job. Not really something to be bragging about Torie�",0.0583121652,0.2975812145,0.1453899992,0.1081465059,0.3009785004,0.0895916149
Clegg: Education spending is a coalition 'red line' - ITV News ,0.1183693384,0.1370508201,0.1681498583,0.2307108843,0.1854807962,0.1602383027
Can you shut the NS down until May 8. Prettyplease ,0.070029333,0.5688941216,0.1322779137,0.1100541938,0.0533315421,0.0654128959
Fucking biased BBC allowing igel_Farage to have a leadersdebate program all of his own... NigelFarage UKIP GE2015,0.0338134106,0.7349826601,0.0801890828,0.0558694827,0.0344096634,0.0607357003
"'I'm not going to cave in to the SNP over Trident and the deficit'. 

A left-wing party in favour of nuclear weapons and maintaing austerity",0.0352436833,0.2963830717,0.1161926627,0.1842692076,0.195638307,0.1722730678
"ickgoff79: If Miliband had replied then, ""ah, you work in recruitment? No wonder you're such a dick."" I'd have voted for him. But he d�",0.0478040565,0.319630423,0.1921019626,0.1413860737,0.150339918,0.1487375662
"llieCumbo: Oh, Tories. Wiz zis message discipline you are really spoiling uz. ",0.0,0.2558420728,0.2351393323,0.1797701673,0.1447019304,0.1845464972
eeMartin4947: Miliband on Question Time: I won't have Labour government if it means SNP deal  GE2015,0.0498148257,0.1825616246,0.1611099649,0.168042684,0.1931780195,0.2452928813
VIDEO: Sturgeon on post-election deals ,0.0346608964,0.0995220897,0.0369856124,0.1622810618,0.2572600153,0.4092903245
Watch: Ed Miliband trips off the stage following Question Time leaders special ,0.0567305461,0.0702807919,0.0821240325,0.2078424872,0.2873239115,0.2956982308
"oncraig: Scottish audience all address Sturgeon as ""Nicola"". Earlier on QT it was ""Mr Cameron"", ""Mr Miliband"" &amp; ""Mr Clegg"". �",0.0248790027,0.1331190232,0.1323930401,0.2310955207,0.2839096257,0.1946037876
"cotlandTonight If Miliband will step aside to let Tories in, we need 59 SNP MPs more than ever to stand up for Scotland heSNP VoteSNP",0.0642503342,0.4237232526,0.1109130279,0.1337324855,0.1405770958,0.1268038041
hristinaSNP: I just heard Milliband's pronouncements........ Oh dear.... Cutting off his nose to spite the Scots.... VoteSNP,0.0180249038,0.0933161012,0.2160215124,0.4691595611,0.0731824384,0.1302954831
Newsnight or Farage talking cr*p for nearly half an hour. A tough call; though Farage might well melt down yet again w/audience questions..,0.1551059733,0.22251142,0.25549792,0.2287094345,0.0702772247,0.0678980276
Kind of like/support nick clegg hahahaha,0.0180312738,0.1112137279,0.0594780036,0.2495493752,0.22668087,0.3350467495
hunkymark: How would labour supporters/country feel if d_Miliband let Tories have another 5 years by refusing to have coalition with�,0.0904455822,0.3623096202,0.2978031942,0.1683193709,0.0364126034,0.0447096292
"uardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP ",0.0634712713,0.5321764545,0.1387953077,0.1329382631,0.0579174138,0.0747012896
"Couldn't watch the leaders Q&amp;As tonight as I was at a scholarship dinner, but at said dinner I argued Labour doesn't need nor want the SNP",0.1945851673,0.2984547088,0.1870980741,0.1869982376,0.0614390799,0.0714247323
"ardhamHT: Scots will never forgive Lab if Tories get in because Miliband refuses to work with SNP, says Stewart Hosie",0.1048811011,0.445951665,0.160225879,0.1208448085,0.0735578661,0.0945386803
anHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? �,0.0575708674,0.2344285732,0.1821576972,0.2109714696,0.1574921084,0.1573792843
hesundaypeople: UKIP's housing spokesman rakes in �800k in housing benefit from migrants.   �,0.0442784724,0.1294262026,0.055743701,0.1135213288,0.2820574419,0.3749728534
SNP leader faces audience questions ,0.0879634989,0.1629531311,0.1627670694,0.2261096631,0.1367037845,0.223502853
"ountryStandard: You Gov Poll Tonight
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)",0.0364068707,0.156805282,0.1239876049,0.1695985554,0.1721581323,0.3410435547
anHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? �,0.0575708674,0.2344285732,0.1821576972,0.2109714696,0.1574921084,0.1573792843
imForScotland: Labour has called SNP bluff. The SNP must now be clear: are they willing to prevent or bring down a Labour government &amp;�,0.1194090402,0.2025045298,0.1823002241,0.2180207725,0.1386141177,0.1391513157
"""Making love is not on the cards here, he's a Tory""",0.0407883918,0.0548581417,0.1065809566,0.0893414141,0.5462148441,0.1622162517
"Audience member: why are million's more people using foodbanks?
David Cameron: here's a letter saying there's no money left",0.0470762216,0.2973476727,0.3302492158,0.1743281797,0.0534027217,0.0975959885
David Cameron hugs another husky in the storms  david Cameron hugahusky davidcamerontweet greatstorm 2013 StJude,0.0,0.0734248082,0.2766288106,0.1401516878,0.3131993816,0.1965953119
emini2359: bbcqt Tories 1st introduced PFI In NHS not Labour. Here's Ken Clarke boasting of it. ,0.0736719603,0.3317009161,0.1135496449,0.1227267511,0.1726711827,0.1856795449
"unny_hundal: It's far easier for Labour to work as a minority govt than the Tories. Miliband can call SNP's bluff, while Cameron has n�",0.079291454,0.2058422385,0.1315300127,0.1795983168,0.2140024535,0.1897355245
Fair point...... ,0.1079951728,0.1771643771,0.238668597,0.2516860937,0.1297442598,0.0947414995
abourpress: We learnt the most from the question David Cameron wouldn't answer tonight: clear now the Tories will cut Child Benefit b�,0.098294215,0.3113062373,0.1908424192,0.1634078955,0.1054664393,0.1306827937
Watch: Ed Miliband trips off the stage following Question Time leaders special ,0.0567305461,0.0702807919,0.0821240325,0.2078424872,0.2873239115,0.2956982308
unNation: SUNNATION EXCLUSIVE: We reveal the man responsible for Ed slipping off the stage...  �,0.0777452272,0.1384159073,0.1136155539,0.2404423019,0.1745646225,0.2552163872
ED MILIBAND FELL OF STAGE... HOW IS HE GOING TO RUN THE COUNTRY?!?!?!????,0.0167721917,0.2245770014,0.417689817,0.2295267148,0.066798561,0.0446357142
"ouseOfTraitors: bbcbias Number of times Party/Leader mentioned tonight on BCNews 

LAB  14
CON  9
LIB    7
SNP  5
UKIP  0",0.0418036843,0.1085569413,0.0797948021,0.1125004818,0.2599641147,0.3973799759
ou_i5e: ogerV52 KIP 100% Nigel,0.1708365467,0.2050949959,0.1238721465,0.0887747881,0.1462304709,0.2651910518
aniel__Brookes arahduk121 igel_Farage KIP that's a tad semantic? perhaps we should use recent general election results as best guide,0.071893611,0.0828301737,0.1283771092,0.2802791469,0.2468086546,0.1898113047
"ritainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)",0.0491099179,0.1184505369,0.1675080671,0.1255423395,0.2134242072,0.3259649313
The historic link between Labour and the trade unions is about to break - thanks to the SNP | via elegraph ,0.0329518638,0.2046055011,0.1717113101,0.1554447546,0.2004340022,0.2348525683
ogideon: Ed Miliband's in denial about his past squandering of our money. Don't let him do it again ,0.0745552477,0.3892699535,0.2071117836,0.1548270182,0.0690228757,0.1052131212
untinRobert: Murphy in Scotland insults our intelligence. Milliband in London demeans all Scots. The Scots will not take it lying down�,0.066485034,0.298602292,0.1272044953,0.1409964397,0.1544706321,0.212241107
UKIP TO WIN FARAGEFOREVER,0.0576276284,0.1551315275,0.0407948087,0.0921080878,0.2044188361,0.4499191114
ndrew4mk: Off to Citizens MK assembly to show my commitment to living wage. Another no show from my Tory opponent.,0.1004105528,0.3039892259,0.233228757,0.1045416009,0.1001879834,0.1576418799
"aulwaugh: ICM found just 6% bbcqt viewers changed their mind. Small sub sample but: Clegg won 32% of switchers, Cam 25% Ed 20% http:/�",0.0293438362,0.1365349971,0.0877427235,0.1612016463,0.270312527,0.31486427
Watch: Ed Miliband trips off the stage following Question Time leaders special ,0.0567305461,0.0702807919,0.0821240325,0.2078424872,0.2873239115,0.2956982308
"iarMPs: Russell Brand wants to hug people who thinks its ok to chop peoples heads off on our streets.
Miliband is only reaching out to�",0.1248705974,0.3792696599,0.1863052273,0.1139737902,0.0840517201,0.111529005
"So, on BBC Question Time's election special interview with the various party leaders, Miliband relented to the... ",0.1129637991,0.1465446961,0.1442744175,0.2552367936,0.1527353086,0.1882449852
Bbc scotlands entire lead story is 'nicola sturgeon won't rule out what she's already ruled out',0.1906362935,0.2196219995,0.1397473163,0.2023271158,0.0939523762,0.1537148986
"ilsonWilson009: Leaked reports that Tories feared ""inevitable ""election defeat so ran a campaign of false flags, muddying of the wate�",0.0591679453,0.3431698644,0.1902103123,0.1874320468,0.0816506293,0.1383692019
olManOfficial: Labour will do a deal with SNP make no mistake! Scotland will rule the UK!,0.0442754817,0.1832293348,0.0410884325,0.2051626522,0.2916750052,0.2345690936
"And like LibDem leader Mr C said, he had to make hard and brave decision 5yrs ago, to save Britain becm like Greece; huge impact stories",0.0457804333,0.1389068516,0.2573017472,0.1632389474,0.213978474,0.1807935465
"englaze: Great line from Lucy Powell on Miliband's minor trip: ""Ed slipped on David Cameron's sweat."" GE2015 bbcqt",0.0107587614,0.168394099,0.0796451074,0.1184747735,0.3489265146,0.2738007441
"atyFBrand: While Cameron slags off Miliband for meeting Russell Brand, shall we just bear this in mind? ",0.0594935812,0.0839320014,0.1419375766,0.3185057808,0.1525747167,0.2435563433
"BCPolitics: David Cameron says child benefit is ""key"" for UK families  bbcqt ",0.1130121958,0.0944915971,0.1241351834,0.2008120443,0.2067692291,0.2607797502
uffPostUK: The Tory spin message about David Cameron's performance is a bit obvious bbcqt  �,0.1002755465,0.1179002508,0.1287682831,0.3482588196,0.1641575088,0.1406395912
I see bcnickrobinson is doing his best to spin this for the Tories. Lame. Predictable and lame. bbcqt,0.2465194997,0.2088599493,0.1798697852,0.1316138173,0.1086431658,0.1244937827
"anielMancip yes I'm not a nationalist ... I don't vote SNP, won't vote SNP - you however as a unionist are a nationalist",0.0497298334,0.269622099,0.0905000844,0.1462483521,0.23056976,0.2133298711
hristopherhope: I will ask David Cameron if he has the Liam Byrne note in his pocket tomorrow. Apparently he takes it 'everywhere' bb�,0.0378441521,0.1007070416,0.0960349098,0.2191630967,0.2245247313,0.3217260685
HairyBiker: I knew BBC news would put more emphasis on Ed Milliband's slight trip at the end of his question time session than the who�,0.1004855301,0.1201038209,0.1474174483,0.2778620333,0.1358147256,0.2183164419
=ohnmcternan enathehyena KLabour d_Miliband Try going to Queen to form a Gov with fewer MPs than Tories and with no deal In place.,0.0771087121,0.4383477215,0.1432976089,0.1205155256,0.1080901221,0.1126403098
"onaldLiddell: SNPBecause 
SNP VoteSNP 
anIwrussell anBarr67 ileen43Eileen en432 hellxdoherty84 atieKhaleesi �",0.0,0.1226766536,0.1058005042,0.1104529019,0.2534396483,0.407630292
"uardian: Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP ",0.0634712713,0.5321764545,0.1387953077,0.1329382631,0.0579174138,0.0747012896
tyrbbygrl: DAVID CAMERON IS BACKING A �15 MILLION MUSEUM &amp; LIBRARY DEDICATED TO MAGGIE THATCHER. �15 FUCKING MILLION. FUCK OFF.,0.02811324,0.4313398682,0.0808444812,0.0857838754,0.1662557178,0.2076628174
"onMooreMoreRon: Our Tory chums don't like you tweeting the following.

Wow! What a Strong and commanding performance by Ed tonight. v�",0.01226086,0.1178577364,0.0278039651,0.0508532783,0.2821422779,0.5090818823
=imonk133 oadto326 still think Tories a nose In front.,0.0707796914,0.182123209,0.1871984447,0.3160504169,0.1184049138,0.1254433241
Watch: Ed Miliband trips off the stage following Question Time leaders special ,0.0567305461,0.0702807919,0.0821240325,0.2078424872,0.2873239115,0.2956982308
".d_Miliband 'nodded' to keeping austerity, but to his own formula. I, too,  was surprised he didn't expand. ",0.0713953189,0.1040916923,0.2105618756,0.1915270056,0.2384553564,0.1839687512
ED MILIBAND FELL OF STAGE... HOW IS HE GOING TO RUN THE COUNTRY?!?!?!????,0.0167721917,0.2245770014,0.417689817,0.2295267148,0.066798561,0.0446357142
ou_i5e: ogerV52 KIP 100% Nigel,0.1708365467,0.2050949959,0.1238721465,0.0887747881,0.1462304709,0.2651910518
"ritainelects: Latest YouGov poll (29 - 30 Apr):
LAB - 35% (+1)
CON - 34% (-1)
UKIP - 12% (-)
LDEM - 8% (-1) 
GRN - 5% (+1)",0.0491099179,0.1184505369,0.1675080671,0.1255423395,0.2134242072,0.3259649313
Fair point...... ,0.1079951728,0.1771643771,0.238668597,0.2516860937,0.1297442598,0.0947414995
ob_pearson86: Clegg with the relaxed demeanour of a man who knows he'll be Deputy PM to *someone* on May 8th.,0.0752656672,0.0843096954,0.0946412381,0.1965102188,0.275116669,0.2741565115
untinRobert: Murphy in Scotland insults our intelligence. Milliband in London demeans all Scots. The Scots will not take it lying down�,0.066485034,0.298602292,0.1272044953,0.1409964397,0.1544706321,0.212241107
"englaze: Great line from Lucy Powell on Miliband's minor trip: ""Ed slipped on David Cameron's sweat."" GE2015 bbcqt",0.0107587614,0.168394099,0.0796451074,0.1184747735,0.3489265146,0.2738007441
"atyFBrand: While Cameron slags off Miliband for meeting Russell Brand, shall we just bear this in mind? ",0.0594935812,0.0839320014,0.1419375766,0.3185057808,0.1525747167,0.2435563433
"anielMancip yes I'm not a nationalist ... I don't vote SNP, won't vote SNP - you however as a unionist are a nationalist",0.0497298334,0.269622099,0.0905000844,0.1462483521,0.23056976,0.2133298711
hristopherhope: I will ask David Cameron if he has the Liam Byrne note in his pocket tomorrow. Apparently he takes it 'everywhere' bb�,0.0378441521,0.1007070416,0.0960349098,0.2191630967,0.2245247313,0.3217260685
=ohnmcternan enathehyena KLabour d_Miliband Try going to Queen to form a Gov with fewer MPs than Tories and with no deal In place.,0.0771087121,0.4383477215,0.1432976089,0.1205155256,0.1080901221,0.1126403098
"hhamilton: Unexpectedly, it looks like UKIP want the royal coat of arms taken off the UK passport. ",0.0288803224,0.115692924,0.2685126453,0.2898808807,0.1181874047,0.1788458229
"onaldLiddell: SNPBecause 
SNP VoteSNP 
anIwrussell anBarr67 ileen43Eileen en432 hellxdoherty84 atieKhaleesi �",0.0,0.1226766536,0.1058005042,0.1104529019,0.2534396483,0.407630292
"lanthegasman: Tim Farron - ""Miliband has ruled out reality""",0.0480276515,0.0902577354,0.1822564647,0.2327775434,0.1382644238,0.3084161811
"rjamesmack In what conceivable situation could the SNP vote against Labour (bar Trident) without compromising on ""locking the Tories out""?",0.0461660404,0.3404345861,0.202640342,0.2252723856,0.0829617078,0.102524938
attHancock2015: Safe to say EdM�s weak performance showed he�s too weak to stand up to SNP. Truth is British people would pay price ht�,0.0877771903,0.1913812341,0.1035472986,0.1172141154,0.2384515966,0.2616285651
No surprise there UKIP  �erform: �,0.1280341898,0.183062575,0.1514953108,0.2145007335,0.1492975406,0.1736096504
ohnhemming4mp Forgot to copy essphillips in on that one.  Ops.  Fair chance of rebuttal. Figs are pretty clear: ibDem record better :),0.041712772,0.2483377247,0.0866797907,0.2590629575,0.1942219081,0.169984847
Some daft fucker has given the UKIP bigots the internet password tonight. They are licking their screens as they type!,0.0346687751,0.6945309658,0.0739200343,0.1341162268,0.0217216443,0.0410423538
"an_beckett: No questions on tax havens for PM on bbcqt - Pourquoi?
Cameron�s father left offshore assets in tax haven of Jersey
http:�",0.0255300025,0.2495631989,0.2467044795,0.1719213522,0.1491561109,0.157124856
"Here endeth the Union!
he45Storm imForScotland d_Miliband  ",0.0845384593,0.202452043,0.1232964133,0.188378088,0.1941907427,0.2071442537
vote no to stop alexsalmond's crazy political career plan will ruin the country  referendum snp alexsalmond,0.0290150409,0.436858419,0.0976597349,0.120163604,0.0966765816,0.2196266197
"Tonight's Question Time special with Cameron, Milliband &amp; Clegg was an ideal moment for a couple of games of Bullshit Bingo.",0.0264009103,0.0887973461,0.0595057023,0.1693268302,0.3528447318,0.3031244793
d_Miliband: I want to be completely clear: there will no coalition and no deals with the SNP. bbcqt,0.0502438404,0.1860792274,0.1869492261,0.159931624,0.199209686,0.2175863961
"enotadick: If the other parties snub the SNP out of spite, they're disenfranchising Scottish people and pushing support for Indy up.",0.1182097693,0.2148907894,0.1011672379,0.1511033721,0.2080274037,0.2066014276
"ursieDear25: A man whose party's entire campaign is based on the ""threat"" of the SNP bringing in another Tory gov, threatening to brin�",0.1042938177,0.2301644993,0.1561530456,0.220120113,0.1019872263,0.1872812981
ndrewColeman1 BCJamesCook icolaSturgeon They  said they would but Milliband saying he'd rather Tory govt than SNP backing redtories?,0.1664598738,0.1953997881,0.2381666342,0.2085294628,0.0770135144,0.1144307268
"Why does DC have a face for every occasion? Like the ham actors in a ""B"" movie. ",0.1664362398,0.2364625804,0.3845021655,0.1239526325,0.027378324,0.0612680577
"andofGOD7: Miliband getting ""tough"" on immigration. After KLabour spent 13 years printing ""how to claim your benefits"" in 174 diffe�",0.0847998653,0.2156847773,0.1550624962,0.2011231439,0.1296365216,0.2136931957
"As someone who is going to grimly, disappointedly go and vote Labour again this time round, please, d_Miliband, stop ruling out SNP deals.",0.1075365828,0.3367835093,0.1212179556,0.1462987288,0.1705963742,0.1175668492
"igar117 Farage and Carswell only likely, maybe 1 or 2 others. Need strong showing by Orange Book Lib Dems. Clegg looks like a gonner.",0.057294412,0.1778652524,0.2501168491,0.2383213073,0.1097725102,0.166629669
David Cameron's father left assets in offshore tax haven to his family ,0.0448692005,0.0888735986,0.2598946984,0.2535650826,0.1453838346,0.2074135852
anHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? �,0.0575708674,0.2344285732,0.1821576972,0.2109714696,0.1574921084,0.1573792843
anHannanMEP: Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him? �,0.0575708674,0.2344285732,0.1821576972,0.2109714696,0.1574921084,0.1573792843
=etigcreature oyhendo Nobody but UKIP will want to cosy up to the Tories - both Labour and  SNP know this.,0.1250750915,0.203495356,0.1406638332,0.1812504875,0.1906549623,0.1588602695
Kezia doll stop making a pure clown of yourself hen !!! snp,0.0382913756,0.47185585,0.1281249719,0.2503087459,0.0527315108,0.0586875457
"alesForYES: If Labour let the Tories back into power, Wales will never forgive them. GE2015",0.0320510245,0.3879453735,0.1965683497,0.0975873189,0.1614533121,0.1243946214
I just reeeeally cannot stand David Cameron,0.0671893132,0.603984424,0.1536415332,0.1145224784,0.0163671344,0.0442951168
tephenNoon: Miliband has just sacrificed cottishLabour - he'd let the Tories stay in government rather than work with the SNP mili�,0.0871572317,0.3066138937,0.1831952978,0.1783199789,0.107131642,0.137581956
=himbleOfGrace which UKIP policy did you agree with?,0.0963175363,0.2514236379,0.1964863685,0.2213445361,0.1211048411,0.11332308
ichardJMurphy: Why won't Miliband challenge the idea that the country does not run a household budget? bbcqt,0.0796121351,0.3139213442,0.2644863352,0.1816370916,0.0656733147,0.0946697791
APonsonby: Miliband made a 'Reverse Vow'. Can only be effective if media run as 'No Deal' instead of 'Tory Threat'. How will BCScotl�,0.1041300618,0.2405000217,0.2802923879,0.228914132,0.0669268206,0.079236576
d_Miliband - forget coalition would be disaster for SNP.You'll need their votes so be realistic here .If you agree-what's the problem?,0.0785482318,0.2555342254,0.1717261527,0.2218972626,0.1465289768,0.1257651507
"archerLord1: bbcqt Miliband:""We will NOT form a coalition with the SNP""
RT for absolute bollocks
FAV for ""I'm gullible and totally be�",0.0802233832,0.236650392,0.1982949187,0.2266577191,0.091051117,0.16712247
"smart: Aw Miliband, just wait till the Scottish results come in bbcqt ",0.0455969086,0.1679286986,0.0777670253,0.257319194,0.1827787586,0.2686094149
Why do they keep acting like Alex Salmond is still the leader of the SNP? Must be cause their shitting themselves from the boss Sturgeon,0.193259512,0.2959416372,0.1595882152,0.1627569197,0.058675275,0.1297784409
ichaelH14: Ed Miliband : it wasn't the spending on teachers &amp; nurses in Britain that crashed the global economy. 'Bout time someone sa�,0.0675754089,0.1718447661,0.2152964175,0.2243602596,0.1512603199,0.1696628279
